SalesOrderID,OrderDate,OnlineOrderFlag,SubTotal,TaxAmt,Freight,TotalDue,AccountNumber,CustType,CustName,SalesPersonName,Territory,Country
43676,2011-05-31,False,14203.458,1363.266,426.0206,15992.7446,AW00029811,SC,Mark Hanson,Michael Blythe,Southeast,US
43677,2011-05-31,False,7793.1108,747.1011,233.4691,8773.681,AW00029824,SC,Brenda Heaney,Garrett Vargas,Canada,CA
43678,2011-05-31,False,9799.9243,942.074,294.3981,11036.3964,AW00029889,SC,Jean Jordan,Shu Ito,Southwest,US
43679,2011-05-31,False,1316.0575,125.8032,39.3135,1481.1742,AW00029761,SC,Susan French,Garrett Vargas,Canada,CA
43680,2011-05-31,False,11397.4992,1093.6394,341.7623,12832.9009,AW00029489,SC,Frances Adams,Shu Ito,Southwest,US
43681,2011-05-31,False,13787.5434,1323.0668,413.4584,15524.0686,AW00029661,SC,Charles Christensen,Tsvi Reiter,Southeast,US
43682,2011-05-31,False,3875.7229,371.8002,116.1876,4363.7107,AW00029759,SC,Judith Frazier,Michael Blythe,Northeast,US
43683,2011-05-31,False,42813.4333,4107.1489,1283.484,48204.0662,AW00029497,SC,François Ferrier,David Campbell,Northwest,US
43684,2011-05-31,False,5596.4705,537.2612,167.8941,6301.6258,AW00029912,SC,Russell King,Tsvi Reiter,Southeast,US
43685,2011-05-31,False,2736.5678,263.20099999999996,82.2503,3082.0191,AW00030084,SC,Abe Tramel,Tsvi Reiter,Southeast,US
43686,2011-05-31,False,3463.2998,332.4768,103.899,3899.6756,AW00029606,SC,Karren Burkhardt,David Campbell,Northwest,US
43687,2011-05-31,False,1258.3767,120.8042,37.7513,1416.9322,AW00029610,SC,Deanna Buskirk,Michael Blythe,Northeast,US
43688,2011-05-31,False,12718.0844,1222.8838,382.1512,14323.1194,AW00029718,SC,John Donovan,Michael Blythe,Northeast,US
43689,2011-05-31,False,33997.3702,3271.4942,1022.3419,38291.2063,AW00029646,SC,Stacey Cereghino,Jillian Carson,Southwest,US
43690,2011-05-31,False,1297.5901,124.2027,38.8133,1460.6061,AW00029533,SC,Douglas Baldwin,Michael Blythe,Central,US
43691,2011-05-31,False,874.794,83.9802,26.2438,985.018,AW00029570,SC,Michael Blythe,Jillian Carson,Southwest,US
43692,2011-05-31,False,38510.8973,3696.3979,1155.1244,43362.4196,AW00029992,SC,Sandra Maynard,Shu Ito,Southwest,US
43693,2011-05-31,False,20541.4072,1969.5564,615.4864,23126.45,AW00029491,SC,Carla Adams,Michael Blythe,Southeast,US
43694,2011-05-31,False,20645.634,1978.3257,618.2268,23242.1865,AW00029549,SC,Shane Belli,Tsvi Reiter,Southeast,US
43695,2011-05-31,False,39373.781,3787.4632,1183.5823,44344.8265,AW00029958,SC,Run Liu,Tsvi Reiter,Southeast,US
43696,2011-05-31,False,419.4589,40.2681,12.5838,472.3108,AW00029849,SC,Barbara Hoffman,Tsvi Reiter,Southeast,US
43697,2011-05-31,True,3578.27,286.2616,89.4568,3953.9884,AW00021768,IN,Cole Watson,,Canada,CA
43698,2011-05-31,True,3399.99,271.9992,84.9998,3756.989,AW00028389,IN,Rachael Martinez,,France,FR
43699,2011-05-31,True,3399.99,271.9992,84.9998,3756.989,AW00025863,IN,Sydney Wright,,Northwest,US
43700,2011-05-31,True,699.0982,55.9279,17.4775,772.5036,AW00014501,IN,Ruben Prasad,,Southwest,US
43701,2011-05-31,True,3399.99,271.9992,84.9998,3756.989,AW00011003,IN,Christy Zhu,,Australia,AU
43702,2011-06-01,True,3578.27,286.2616,89.4568,3953.9884,AW00027645,IN,Colin Anand,,Southwest,US
43703,2011-06-01,True,3578.27,286.2616,89.4568,3953.9884,AW00016624,IN,Albert Alvarez,,Australia,AU
43704,2011-06-01,True,3374.99,269.9992,84.3748,3729.364,AW00011005,IN,Julio Ruiz,,Australia,AU
43705,2011-06-01,True,3399.99,271.9992,84.9998,3756.989,AW00011011,IN,Curtis Lu,,Australia,AU
43706,2011-06-02,True,3578.27,286.2616,89.4568,3953.9884,AW00027621,IN,Edward Brown,,Southwest,US
43707,2011-06-02,True,3578.27,286.2616,89.4568,3953.9884,AW00027616,IN,Emma Brown,,Southwest,US
43708,2011-06-02,True,699.0982,55.9279,17.4775,772.5036,AW00020042,IN,Brad Deng,,United Kingdom,GB
43709,2011-06-02,True,3578.27,286.2616,89.4568,3953.9884,AW00016351,IN,Martha Xu,,Australia,AU
43710,2011-06-02,True,3578.27,286.2616,89.4568,3953.9884,AW00016517,IN,Katrina Raji,,Australia,AU
43711,2011-06-03,True,3578.27,286.2616,89.4568,3953.9884,AW00027606,IN,Courtney Edwards,,Northwest,US
43712,2011-06-03,True,3578.27,286.2616,89.4568,3953.9884,AW00013513,IN,Abigail Henderson,,Germany,DE
43713,2011-06-04,True,3578.27,286.2616,89.4568,3953.9884,AW00027601,IN,Sydney Rogers,,Southwest,US
43714,2011-06-04,True,3578.27,286.2616,89.4568,3953.9884,AW00013591,IN,Latasha Alonso,,United Kingdom,GB
43715,2011-06-04,True,3578.27,286.2616,89.4568,3953.9884,AW00016483,IN,Warren Jai,,Australia,AU
43716,2011-06-04,True,3578.27,286.2616,89.4568,3953.9884,AW00016529,IN,Jonathon Gutierrez,,Australia,AU
43717,2011-06-04,True,699.0982,55.9279,17.4775,772.5036,AW00025249,IN,Alexandra Watson,,Australia,AU
43718,2011-06-05,True,3578.27,286.2616,89.4568,3953.9884,AW00027668,IN,Kevin Gonzalez,,Northwest,US
43719,2011-06-05,True,3578.27,286.2616,89.4568,3953.9884,AW00027612,IN,Lucas Hill,,Southwest,US
43720,2011-06-05,True,3578.27,286.2616,89.4568,3953.9884,AW00013264,IN,Melanie Sanchez,,Germany,DE
43721,2011-06-05,True,3578.27,286.2616,89.4568,3953.9884,AW00013590,IN,Louis Xie,,United Kingdom,GB
43722,2011-06-06,True,3578.27,286.2616,89.4568,3953.9884,AW00013581,IN,Albert Blanco,,United Kingdom,GB
43723,2011-06-06,True,699.0982,55.9279,17.4775,772.5036,AW00014520,IN,Bonnie Xu,,Northwest,US
43724,2011-06-06,True,3578.27,286.2616,89.4568,3953.9884,AW00016520,IN,Misty Raji,,Australia,AU
43725,2011-06-07,True,3578.27,286.2616,89.4568,3953.9884,AW00013258,IN,Anne Dominguez,,Germany,DE
43726,2011-06-07,True,699.0982,55.9279,17.4775,772.5036,AW00014560,IN,Kelvin Huang,,Southwest,US
43727,2011-06-07,True,3578.27,286.2616,89.4568,3953.9884,AW00016607,IN,Logan Gonzales,,Australia,AU
43728,2011-06-08,True,3578.27,286.2616,89.4568,3953.9884,AW00027666,IN,Alyssa Garcia,,Southwest,US
43729,2011-06-08,True,3399.99,271.9992,84.9998,3756.989,AW00011238,IN,Mayra Prasad,,United Kingdom,GB
43730,2011-06-08,True,3399.99,271.9992,84.9998,3756.989,AW00025861,IN,Garrett Cooper,,Southwest,US
43731,2011-06-08,True,3578.27,286.2616,89.4568,3953.9884,AW00016629,IN,Rosa Zheng,,Australia,AU
43732,2011-06-08,True,3374.99,269.9992,84.3748,3729.364,AW00011025,IN,Alejandro Beck,,Australia,AU
43733,2011-06-08,True,3578.27,286.2616,89.4568,3953.9884,AW00027577,IN,Patrick Cook,,Northwest,US
43734,2011-06-09,True,3578.27,286.2616,89.4568,3953.9884,AW00027604,IN,Richard Brooks,,Northwest,US
43735,2011-06-09,True,3578.27,286.2616,89.4568,3953.9884,AW00016522,IN,Casey Pal,,Australia,AU
43736,2011-06-09,True,3399.99,271.9992,84.9998,3756.989,AW00011002,IN,Ruben Torres,,Australia,AU
43737,2011-06-10,True,3578.27,286.2616,89.4568,3953.9884,AW00013261,IN,Lindsey Andersen,,Germany,DE
43738,2011-06-10,True,3578.27,286.2616,89.4568,3953.9884,AW00011606,IN,Melody Ramos,,France,FR
43739,2011-06-10,True,3578.27,286.2616,89.4568,3953.9884,AW00013563,IN,Phillip Sai,,United Kingdom,GB
43740,2011-06-10,True,3578.27,286.2616,89.4568,3953.9884,AW00016527,IN,Cory Arun,,Australia,AU
43741,2011-06-11,True,3578.27,286.2616,89.4568,3953.9884,AW00027671,IN,Jeremiah Martinez,,Northwest,US
43742,2011-06-11,True,3578.27,286.2616,89.4568,3953.9884,AW00013576,IN,Tamara Lal,,United Kingdom,GB
43743,2011-06-11,True,3399.99,271.9992,84.9998,3756.989,AW00011007,IN,Marco Mehta,,Australia,AU
43744,2011-06-11,True,3578.27,286.2616,89.4568,3953.9884,AW00016631,IN,Haley Ward,,Australia,AU
43745,2011-06-12,True,3578.27,286.2616,89.4568,3953.9884,AW00016514,IN,Manuel Fernandez,,Australia,AU
43746,2011-06-12,True,3578.27,286.2616,89.4568,3953.9884,AW00016616,IN,Kelvin Liang,,Australia,AU
43747,2011-06-13,True,3578.27,286.2616,89.4568,3953.9884,AW00027623,IN,Christian Jackson,,Southwest,US
43748,2011-06-13,True,3578.27,286.2616,89.4568,3953.9884,AW00027625,IN,Alexandria Hughes,,Northwest,US
43749,2011-06-13,True,3578.27,286.2616,89.4568,3953.9884,AW00027636,IN,Paige Murphy,,Northwest,US
43750,2011-06-13,True,3578.27,286.2616,89.4568,3953.9884,AW00011591,IN,Stacey Lu,,France,FR
43751,2011-06-13,True,3578.27,286.2616,89.4568,3953.9884,AW00011592,IN,Darrell Raji,,France,FR
43752,2011-06-13,True,3578.27,286.2616,89.4568,3953.9884,AW00013265,IN,Luke Adams,,Germany,DE
43753,2011-06-13,True,3578.27,286.2616,89.4568,3953.9884,AW00016482,IN,Tabitha Arthur,,Australia,AU
43754,2011-06-14,True,3578.27,286.2616,89.4568,3953.9884,AW00027617,IN,Morgan Phillips,,Northwest,US
43755,2011-06-14,True,3578.27,286.2616,89.4568,3953.9884,AW00027670,IN,Kayla Long,,Southwest,US
43756,2011-06-14,True,699.0982,55.9279,17.4775,772.5036,AW00019941,IN,Cedric Liang,,United Kingdom,GB
43757,2011-06-14,True,3374.99,269.9992,84.3748,3729.364,AW00011017,IN,Shannon Wang,,Australia,AU
43758,2011-06-15,True,3578.27,286.2616,89.4568,3953.9884,AW00027646,IN,Jackson Li,,Southwest,US
43759,2011-06-15,True,3578.27,286.2616,89.4568,3953.9884,AW00013257,IN,Jon Chander,,Germany,DE
43760,2011-06-15,True,3578.27,286.2616,89.4568,3953.9884,AW00016352,IN,Tiffany Gao,,Australia,AU
43761,2011-06-15,True,3578.27,286.2616,89.4568,3953.9884,AW00016493,IN,Brenda Fernandez,,Australia,AU
43762,2011-06-16,True,3578.27,286.2616,89.4568,3953.9884,AW00027578,IN,Courtney Carter,,Southwest,US
43763,2011-06-16,True,3578.27,286.2616,89.4568,3953.9884,AW00016525,IN,Martha Liang,,Australia,AU
43764,2011-06-16,True,3578.27,286.2616,89.4568,3953.9884,AW00016612,IN,Ebony Ashe,,Australia,AU
43765,2011-06-16,True,3399.99,271.9992,84.9998,3756.989,AW00011010,IN,Jacquelyn Suarez,,Australia,AU
43766,2011-06-17,True,3578.27,286.2616,89.4568,3953.9884,AW00016518,IN,Krystal Holt,,Australia,AU
43767,2011-06-17,True,3374.99,269.9992,84.3748,3729.364,AW00011001,IN,Eugene Huang,,Australia,AU
43768,2011-06-18,True,3578.27,286.2616,89.4568,3953.9884,AW00027649,IN,Evan Bailey,,Northwest,US
43769,2011-06-18,True,3578.27,286.2616,89.4568,3953.9884,AW00021659,IN,Gabrielle Jenkins,,Canada,CA
43770,2011-06-18,True,3578.27,286.2616,89.4568,3953.9884,AW00027614,IN,Warren Ye,,Northwest,US
43771,2011-06-18,True,699.0982,55.9279,17.4775,772.5036,AW00014559,IN,Ashley Washington,,Southwest,US
43772,2011-06-18,True,3578.27,286.2616,89.4568,3953.9884,AW00016524,IN,Damien Huang,,Australia,AU
43773,2011-06-18,True,3578.27,286.2616,89.4568,3953.9884,AW00016526,IN,Arthur Perez,,Australia,AU
43774,2011-06-18,True,3578.27,286.2616,89.4568,3953.9884,AW00016348,IN,Roy Raman,,Australia,AU
43775,2011-06-18,True,3399.99,271.9992,84.9998,3756.989,AW00011027,IN,Jessie Zhao,,Australia,AU
43776,2011-06-19,True,3578.27,286.2616,89.4568,3953.9884,AW00013260,IN,James Flores,,Germany,DE
43777,2011-06-19,True,3578.27,286.2616,89.4568,3953.9884,AW00016515,IN,Troy Sai,,Australia,AU
43778,2011-06-19,True,3399.99,271.9992,84.9998,3756.989,AW00011018,IN,Clarence Rai,,Australia,AU
43779,2011-06-19,True,699.0982,55.9279,17.4775,772.5036,AW00025252,IN,Warren Zhang,,Australia,AU
43780,2011-06-20,True,3578.27,286.2616,89.4568,3953.9884,AW00011599,IN,Melody Diaz,,France,FR
43781,2011-06-20,True,3578.27,286.2616,89.4568,3953.9884,AW00016495,IN,Monique Ramos,,Australia,AU
43782,2011-06-20,True,3578.27,286.2616,89.4568,3953.9884,AW00016516,IN,Melvin She,,Australia,AU
43783,2011-06-20,True,3578.27,286.2616,89.4568,3953.9884,AW00016620,IN,Cameron Thompson,,Australia,AU
43784,2011-06-21,True,3578.27,286.2616,89.4568,3953.9884,AW00027667,IN,Jessica Sanchez,,Southwest,US
43785,2011-06-21,True,3578.27,286.2616,89.4568,3953.9884,AW00011601,IN,Ivan Raman,,France,FR
43786,2011-06-21,True,3578.27,286.2616,89.4568,3953.9884,AW00011607,IN,Clinton Moreno,,France,FR
43787,2011-06-21,True,3399.99,271.9992,84.9998,3756.989,AW00029385,IN,Don Lal,,Germany,DE
43788,2011-06-21,True,3374.99,269.9992,84.3748,3729.364,AW00011239,IN,Latoya Goel,,United Kingdom,GB
43789,2011-06-21,True,3374.99,269.9992,84.3748,3729.364,AW00025865,IN,Tristan Butler,,Northwest,US
43790,2011-06-21,True,3399.99,271.9992,84.9998,3756.989,AW00025857,IN,Abigail Perry,,Northwest,US
43791,2011-06-21,True,3578.27,286.2616,89.4568,3953.9884,AW00016484,IN,Dustin Lal,,Australia,AU
43792,2011-06-21,True,3578.27,286.2616,89.4568,3953.9884,AW00016623,IN,Andres Lal,,Australia,AU
43793,2011-06-21,True,3399.99,271.9992,84.9998,3756.989,AW00011000,IN,Jon Yang,,Australia,AU
43794,2011-06-21,True,3399.99,271.9992,84.9998,3756.989,AW00011029,IN,Jimmy Moreno,,Australia,AU
43795,2011-06-22,True,3578.27,286.2616,89.4568,3953.9884,AW00027615,IN,Maria Henderson,,Southwest,US
43796,2011-06-22,True,699.0982,55.9279,17.4775,772.5036,AW00017956,IN,Jaime Gomez,,France,FR
43797,2011-06-22,True,3578.27,286.2616,89.4568,3953.9884,AW00016345,IN,Francis Ramos,,Australia,AU
43798,2011-06-22,True,3578.27,286.2616,89.4568,3953.9884,AW00016521,IN,Tonya She,,Australia,AU
43799,2011-06-22,True,3578.27,286.2616,89.4568,3953.9884,AW00016636,IN,Danny Gomez,,Australia,AU
43800,2011-06-23,True,3578.27,286.2616,89.4568,3953.9884,AW00021710,IN,Brittany Gonzales,,Canada,CA
43801,2011-06-23,True,3578.27,286.2616,89.4568,3953.9884,AW00013583,IN,Blake Butler,,United Kingdom,GB
43802,2011-06-23,True,3578.27,286.2616,89.4568,3953.9884,AW00011593,IN,Armando Moreno,,France,FR
43803,2011-06-24,True,3578.27,286.2616,89.4568,3953.9884,AW00021741,IN,Alexa Sanders,,Canada,CA
43804,2011-06-24,True,3578.27,286.2616,89.4568,3953.9884,AW00013585,IN,Savannah Morris,,United Kingdom,GB
43805,2011-06-24,True,699.0982,55.9279,17.4775,772.5036,AW00014510,IN,Samuel Hernandez,,Northwest,US
43806,2011-06-24,True,3578.27,286.2616,89.4568,3953.9884,AW00016523,IN,Sandra Huang,,Australia,AU
43807,2011-06-25,True,3578.27,286.2616,89.4568,3953.9884,AW00011611,IN,Ernest Lin,,France,FR
43808,2011-06-25,True,3578.27,286.2616,89.4568,3953.9884,AW00013259,IN,Allen Garcia,,Germany,DE
43809,2011-06-25,True,3578.27,286.2616,89.4568,3953.9884,AW00016350,IN,Fernando Thompson,,Australia,AU
43810,2011-06-25,True,3399.99,271.9992,84.9998,3756.989,AW00011004,IN,Elizabeth Johnson,,Australia,AU
43811,2011-06-25,True,3399.99,271.9992,84.9998,3756.989,AW00011026,IN,Harold Sai,,Australia,AU
43812,2011-06-26,True,3578.27,286.2616,89.4568,3953.9884,AW00027662,IN,Bianca Zheng,,Southwest,US
43813,2011-06-26,True,3374.99,269.9992,84.3748,3729.364,AW00028390,IN,Frederick Suri,,France,FR
43814,2011-06-26,True,3374.99,269.9992,84.3748,3729.364,AW00025866,IN,Tristan Perry,,Northwest,US
43815,2011-06-26,True,3578.27,286.2616,89.4568,3953.9884,AW00016494,IN,Jordyn Simmons,,Australia,AU
43816,2011-06-26,True,3578.27,286.2616,89.4568,3953.9884,AW00016496,IN,Dawn Tang,,Australia,AU
43817,2011-06-26,True,3578.27,286.2616,89.4568,3953.9884,AW00016519,IN,Yolanda Chander,,Australia,AU
43818,2011-06-26,True,3578.27,286.2616,89.4568,3953.9884,AW00016528,IN,Dominique Garcia,,Australia,AU
43819,2011-06-26,True,3399.99,271.9992,84.9998,3756.989,AW00011006,IN,Janet Alvarez,,Australia,AU
43820,2011-06-27,True,3578.27,286.2616,89.4568,3953.9884,AW00027651,IN,Jeremy Murphy,,Southwest,US
43821,2011-06-27,True,3578.27,286.2616,89.4568,3953.9884,AW00027663,IN,Aaron Collins,,Southwest,US
43822,2011-06-27,True,3578.27,286.2616,89.4568,3953.9884,AW00027669,IN,Katelyn Allen,,Southwest,US
43823,2011-06-27,True,699.0982,55.9279,17.4775,772.5036,AW00019942,IN,Armando Navarro,,United Kingdom,GB
43824,2011-06-27,True,699.0982,55.9279,17.4775,772.5036,AW00014558,IN,Marcel Truempy,,Northwest,US
43825,2011-06-27,True,3578.27,286.2616,89.4568,3953.9884,AW00016349,IN,Levi Sai,,Australia,AU
43826,2011-06-27,True,3374.99,269.9992,84.3748,3729.364,AW00011008,IN,Rob Verhoff,,Australia,AU
43827,2011-06-27,True,699.0982,55.9279,17.4775,772.5036,AW00025250,IN,Anthony Walker,,Australia,AU
43828,2011-06-28,True,3578.27,286.2616,89.4568,3953.9884,AW00027605,IN,Miguel Martinez,,Northwest,US
43829,2011-06-28,True,3578.27,286.2616,89.4568,3953.9884,AW00027611,IN,Jack Edwards,,Southwest,US
43830,2011-06-28,True,3578.27,286.2616,89.4568,3953.9884,AW00016347,IN,Raul Sharma,,Australia,AU
43831,2011-06-28,True,3374.99,269.9992,84.3748,3729.364,AW00011028,IN,Jill Jimenez,,Australia,AU
43832,2011-06-28,True,3578.27,286.2616,89.4568,3953.9884,AW00013584,IN,Isaiah Cox,,United Kingdom,GB
43833,2011-06-29,True,3578.27,286.2616,89.4568,3953.9884,AW00021727,IN,Arianna Flores,,Canada,CA
43834,2011-06-29,True,3374.99,269.9992,84.3748,3729.364,AW00028393,IN,Ramon Zheng,,France,FR
43835,2011-06-29,True,3374.99,269.9992,84.3748,3729.364,AW00019802,IN,Sara James,,Canada,CA
43836,2011-06-29,True,699.0982,55.9279,17.4775,772.5036,AW00026620,IN,Isabella Green,,Canada,CA
43837,2011-06-29,True,3374.99,269.9992,84.3748,3729.364,AW00011009,IN,Shannon Carlson,,Australia,AU
43838,2011-06-30,True,3578.27,286.2616,89.4568,3953.9884,AW00027641,IN,Miranda Alexander,,Southwest,US
43839,2011-06-30,True,3578.27,286.2616,89.4568,3953.9884,AW00027673,IN,Jennifer Young,,Northwest,US
43840,2011-06-30,True,699.0982,55.9279,17.4775,772.5036,AW00017957,IN,Misty Yuan,,France,FR
43841,2011-06-30,True,3578.27,286.2616,89.4568,3953.9884,AW00013406,IN,Craig Jiménez,,Germany,DE
43842,2011-06-30,True,3578.27,286.2616,89.4568,3953.9884,AW00016630,IN,Jaime Sutton,,Australia,AU
43843,2011-07-01,False,32940.1556,3174.1988,991.9371,37106.2915,AW00029955,SC,David Liu,Michael Blythe,Central,US
43844,2011-07-01,False,20249.94,1943.9942,607.4982,22801.4324,AW00029620,SC,Joan Campbell,José Saraiva,Canada,CA
43845,2011-07-01,False,8580.0739,823.6669,257.3959,9661.1367,AW00029888,SC,Brannon Jones,Tsvi Reiter,Southeast,US
43846,2011-07-01,False,919.5201,90.6637,28.3324,1038.5162,AW00029548,SC,Ann Beebe,Garrett Vargas,Canada,CA
43847,2011-07-01,False,908.8209,86.9292,27.1654,1022.9155,AW00029539,SC,Josh Barnhill,Garrett Vargas,Canada,CA
43848,2011-07-01,False,18269.946,1753.9148,548.0984,20571.9592,AW00029717,SC,Cindy Dodd,David Campbell,Northwest,US
43849,2011-07-01,False,20544.7015,1969.9765,615.6177,23130.2957,AW00029818,SC,Roger Harui,Stephen Jiang,Northwest,US
43850,2011-07-01,False,10183.7952,982.9377,307.168,11473.9009,AW00029892,SC,Sandra Kitt,José Saraiva,Canada,CA
43851,2011-07-01,False,6783.7679,651.4975,203.593,7638.8584,AW00029509,SC,Michael Allen,Michael Blythe,Northeast,US
43852,2011-07-01,False,2024.994,194.3994,60.7498,2280.1432,AW00029855,SC,Curtis Howard,José Saraiva,Canada,CA
43853,2011-07-01,False,26354.922000000002,2530.0725,790.6477,29675.6422,AW00029813,SC,Katherine Harding,José Saraiva,Canada,CA
43854,2011-07-01,False,1749.588,167.9604,52.4876,1970.036,AW00029988,SC,Steve Masters,José Saraiva,Canada,CA
43855,2011-07-01,False,10993.3516,1058.7224,330.8508,12382.9248,AW00029946,SC,Linda Leste,Garrett Vargas,Canada,CA
43856,2011-07-01,False,2036.394,195.3874,61.0586,2292.84,AW00029680,SC,Dorothy Contreras,José Saraiva,Canada,CA
43857,2011-07-01,False,7186.5371,689.052,215.3287,8090.9178,AW00030074,SC,Yuping Tian,José Saraiva,Canada,CA
43858,2011-07-01,False,13694.3494,1317.0672,411.5835,15423.0001,AW00029961,SC,John Long,Michael Blythe,Northeast,US
43859,2011-07-01,False,3911.5991,375.2443,117.2639,4404.1073,AW00029865,SC,Lucio Iallo,Linda Mitchell,Southwest,US
43860,2011-07-01,False,10993.3942,1057.2843,330.4013,12381.0798,AW00029773,SC,Orlando Gee,Pamela Ansman-Wolfe,Northwest,US
43861,2011-07-01,False,23401.1062,2244.4088,701.3777,26346.8927,AW00029749,SC,Hanying Feng,Tsvi Reiter,Southeast,US
43862,2011-07-01,False,31000.7804,2987.8703,933.7095,34922.3602,AW00029945,SC,Gloria Lesko,Tsvi Reiter,Southeast,US
43863,2011-07-01,False,1718.8983,164.9658,51.5518,1935.4159,AW00029764,SC,John Ford,Jillian Carson,Southwest,US
43864,2011-07-01,False,38474.3572,3703.8969,1157.4678,43335.7219,AW00030056,SC,Clarence Tatman,Linda Mitchell,Southwest,US
43865,2011-07-01,False,13196.0548,1268.2589,396.3309,14860.6446,AW00030117,SC,Robert Vessa,Jillian Carson,Southwest,US
43866,2011-07-01,False,4076.388,391.2268,122.2584,4589.8732,AW00029571,SC,Gabriel Bockenkamp,Pamela Ansman-Wolfe,Northwest,US
43867,2011-07-01,False,32673.0446,3149.2911,984.1535,36806.4892,AW00029582,SC,Ted Bremer,Pamela Ansman-Wolfe,Northwest,US
43868,2011-07-01,False,2146.962,206.1084,64.4089,2417.4793,AW00030042,SC,Ruby Sue Styles,José Saraiva,Canada,CA
43869,2011-07-01,False,49193.9864,4734.607,1479.5647,55408.1581,AW00030107,SC,Margaret Vanderkamp,Linda Mitchell,Northwest,US
43870,2011-07-01,False,4316.9864,413.6232,129.2572,4859.8668,AW00029675,SC,Aaron Con,Michael Blythe,Northeast,US
43871,2011-07-01,False,9398.8972,899.949,281.2341,10580.0803,AW00030076,SC,Diane Tibbott,Shu Ito,Central,US
43872,2011-07-01,False,11584.458999999999,1110.9858,347.1831,13042.6279,AW00030100,SC,Jessie Valerio,Linda Mitchell,Southwest,US
43873,2011-07-01,False,41250.4391,3973.725,1241.789,46465.9531,AW00029703,SC,Stefan Delmarco,Linda Mitchell,Southwest,US
43874,2011-07-01,False,419.4589,40.2681,12.5838,472.3108,AW00029569,SC,Linda Burnett,Jillian Carson,Central,US
43875,2011-07-01,False,121761.9396,11871.5033,3709.8448,137343.2877,AW00029624,SC,Joseph Cantoni,Tsvi Reiter,Southeast,US
43876,2011-07-01,False,7135.2649,686.9474,214.6711,8036.8834,AW00030091,SC,Lynn Tsoflias,Michael Blythe,Northeast,US
43877,2011-07-01,False,20628.5745,1977.1163,617.8489,23223.5397,AW00029925,SC,Margaret Krupka,Pamela Ansman-Wolfe,Northwest,US
43878,2011-07-01,False,4079.988,391.6788,122.3996,4594.0664,AW00029664,SC,Gina Clark,Michael Blythe,Northeast,US
43879,2011-07-01,False,21718.7639,2087.8858,652.4643,24459.113999999998,AW00029510,SC,Cecil Allison,José Saraiva,Canada,CA
43880,2011-07-01,False,15479.55,1488.4458,465.1393,17433.1351,AW00029789,SC,Brian Goldstein,Garrett Vargas,Canada,CA
43881,2011-07-01,False,38816.8056,3725.7234,1164.2885,43706.8175,AW00030111,SC,Ranjit Varkey Chudukatil,Jillian Carson,Central,US
43882,2011-07-01,False,2024.994,194.3994,60.7498,2280.1432,AW00029558,SC,John Berger,José Saraiva,Canada,CA
43883,2011-07-01,False,18320.6894,1763.0175,550.943,20634.6499,AW00029724,SC,Bernard Duerr,Michael Blythe,Northeast,US
43884,2011-07-01,False,115696.3313,11215.3536,3504.798,130416.4829,AW00029861,SC,Phyllis Huntsman,Jillian Carson,Central,US
